QuestionType,Asin,AnswerTime,UnixTime,Question,AnswerType,Answer,Category
yes/no,B00004U9JO,"Oct 31, 2013",1383202800.0,will this one work to replace the badger 1 1/3 HP,Y,Yes it will. The sink connector is even the same,Appliances
open-ended,B00004U9JO,"Apr 2, 2014",1396422000.0,so can this unit be connected with a dishwasher or do I need a different model?,,"yes, I did it with mine.",Appliances
open-ended,B00004U9JO,"Jul 6, 2014",1404630000.0,How easy to replace existing badger 1 with badger 5?,,Not difficult as long as you have a helper or something to prop up the replacement as you screw it into place.,Appliances
yes/no,B00004U9JO,14 days ago,,My present disposal has a 3 bolt connection. Would changing to the twist type connection for a new disposal make installation complicated?,?,If I understand your present disposal 3 bolts the twist type should be no problem. When you order it is a bit confusing as to what comes with the disposal. When they show people often order some things when the get the disposal. You don't need any of those it all come with it the only thing you might need would be some different drain pipe but most likely you won't. I hope I was some help. Bill,Appliances
open-ended,B00004U9JO,"Jun 27, 2014",1403852400.0,Does the unit come with the rubber collar or do I need to buy that separately?,,"If you mean the rubber collar that is visible when looking at the drain, with the rubber flaps, then yes it does.",Appliances
yes/no,B00004U9JO,"Jan 14, 2014",1389686400.0,is there a connection for the dish washer,Y,yes.,Appliances
open-ended,B00004W4UJ,"Nov 28, 2010",1290931200.0,burner plates for electric glass cooktops? Can burner plates be used for electric glass cooktops?,,I'm looking for the same item because I have a small espresso machine that has a footprint much smaller than the smallest burner. Is there anything that's on the market for such an issue? Glass tops are a pain.,Appliances
open-ended,B00004W4UJ,"Apr 9, 2014",1397026800.0,I have a electic stove that has varying sizes of burners. here its mentioned as 8 inch. What can i do for small burners ? How many plates in package?,,I use the Nordic on all size electric burners. It instructs to turn the heat to medium after achieving full heat. This is important to prevent warping. Only one per pkg. Beware - treated with something that smells terrible until it burns off.,Appliances
yes/no,B00004W4UJ,"Aug 7, 2013",1375858800.0,can these be used for gas stove burner?,Y,yes it can.i use it on my grills side burner to slow boil leftover marinades and veggies.,Appliances
yes/no,B00004W4UJ,"Aug 7, 2013",1375858800.0,is this for electric stoves?,?,"This is purportedly for all heat sources. Heat is heat and the heat WILL distort this sooner or later. My stove was electric and the first time I used it, it warped. If you want to hammer it out after using it, give it a shot. Heat diffusers are a good thing for cooking, particularly on an electric stove which is notorious for hot spots. It's warped but I still use it.",Appliances
yes/no,B00004W4UJ,"Mar 26, 2013",1364281200.0,"Hi, I'm interested in this product. Can it be used over induction stove top as an adapter plate for non-induction cookware? How's the transfer of heat",?,"I don't see how it could be used that way, no. I ordered one for that same purpose assuming it was a solid plate, but this is a stamped steel disc with a raised rim for it to slip over a conventional burner. The only way I could see it working on an induction cooktop would be to place it upside down and then use a pan or pot that is smaller than the raised rim.",Appliances
yes/no,B00004W4UJ,"Dec 28, 2013",1388217600.0,can you bake corn bread on this without it burnding.,?,"this is a flat diffuser for a burner. it distributes heat evenly and prevents thinner steel pans from scorching. can be used for toasting tortillas, not for other direct food applicatioms. pots and pans only.",Appliances
yes/no,B00004W4UJ,"Dec 15, 2014",1418630400.0,Can this be used on gas stove when making polenta which needs low heat.,Y,"Yes, I think it should be fine. I've been using mine on a gas stove with no problems.",Appliances
open-ended,B00004W4UJ,"Nov 4, 2013",1383552000.0,just bought a new alum Pressure Cooker/found in manual that it shouldn't be used on my ceramic stovetop.Any ideas? do I have to get a hotplate or a ..,,maybe a single electric burner?,Appliances
yes/no,B00004W4UJ,"Oct 9, 2014",1412838000.0,Do these work on induction cooktops?,?,"It is my understanding that these were made for standard electric and gas burners. As they are metal I do not think they would work for induction cooktops. My suggestion would be to contact the induction top manufacturer for an expert answer. Sincerely, C. Dalzell",Appliances
yes/no,B00004W4UJ,15 days ago,,Will this keep pour-over coffee carafe contents warmed atop a gas range flame?,?,"Probably, and maybe too much. I use mine to prepare small batches of sauce (experimental stuff) and it's hot enough, even with the gas on low on my middle size burner, to get a slow boil. I would not recommend a glass carafe, personal preference, but a metal type.",Appliances
open-ended,B00004W4UK,"Nov 28, 2010",1290931200.0,burner plates for electric glass cooktops? Can burner plates be used for electric glass cooktops?,,I'm looking for the same item because I have a small espresso machine that has a footprint much smaller than the smallest burner. Is there anything that's on the market for such an issue? Glass tops are a pain.,Appliances
open-ended,B00004W4UK,"Apr 9, 2014",1397026800.0,I have a electic stove that has varying sizes of burners. here its mentioned as 8 inch. What can i do for small burners ? How many plates in package?,,I use the Nordic on all size electric burners. It instructs to turn the heat to medium after achieving full heat. This is important to prevent warping. Only one per pkg. Beware - treated with something that smells terrible until it burns off.,Appliances
yes/no,B00004W4UK,"Aug 7, 2013",1375858800.0,can these be used for gas stove burner?,Y,yes it can.i use it on my grills side burner to slow boil leftover marinades and veggies.,Appliances
yes/no,B00004W4UK,"Aug 7, 2013",1375858800.0,is this for electric stoves?,?,"This is purportedly for all heat sources. Heat is heat and the heat WILL distort this sooner or later. My stove was electric and the first time I used it, it warped. If you want to hammer it out after using it, give it a shot. Heat diffusers are a good thing for cooking, particularly on an electric stove which is notorious for hot spots. It's warped but I still use it.",Appliances
yes/no,B00004W4UK,"Mar 26, 2013",1364281200.0,"Hi, I'm interested in this product. Can it be used over induction stove top as an adapter plate for non-induction cookware? How's the transfer of heat",?,"I don't see how it could be used that way, no. I ordered one for that same purpose assuming it was a solid plate, but this is a stamped steel disc with a raised rim for it to slip over a conventional burner. The only way I could see it working on an induction cooktop would be to place it upside down and then use a pan or pot that is smaller than the raised rim.",Appliances
yes/no,B00004W4UK,"Dec 28, 2013",1388217600.0,can you bake corn bread on this without it burnding.,?,"this is a flat diffuser for a burner. it distributes heat evenly and prevents thinner steel pans from scorching. can be used for toasting tortillas, not for other direct food applicatioms. pots and pans only.",Appliances
yes/no,B00004W4UK,"Dec 15, 2014",1418630400.0,Can this be used on gas stove when making polenta which needs low heat.,Y,"Yes, I think it should be fine. I've been using mine on a gas stove with no problems.",Appliances
open-ended,B00004W4UK,"Nov 4, 2013",1383552000.0,just bought a new alum Pressure Cooker/found in manual that it shouldn't be used on my ceramic stovetop.Any ideas? do I have to get a hotplate or a ..,,maybe a single electric burner?,Appliances
yes/no,B00004W4UK,"Oct 9, 2014",1412838000.0,Do these work on induction cooktops?,?,"It is my understanding that these were made for standard electric and gas burners. As they are metal I do not think they would work for induction cooktops. My suggestion would be to contact the induction top manufacturer for an expert answer. Sincerely, C. Dalzell",Appliances
yes/no,B00004W4UK,15 days ago,,Will this keep pour-over coffee carafe contents warmed atop a gas range flame?,?,"Probably, and maybe too much. I use mine to prepare small batches of sauce (experimental stuff) and it's hot enough, even with the gas on low on my middle size burner, to get a slow boil. I would not recommend a glass carafe, personal preference, but a metal type.",Appliances
open-ended,B00005AUHX,"Mar 2, 2013",1362211200.0,How many test kits are there in a box. How mant times can I test the water,,just once. there are several types of test in the box but they're each designed to only be used once.,Appliances
open-ended,B00005AUHX,"Sep 30, 2014",1412060400.0,"how many strips come in the kit, I need at least 12",,"The kit contains ONE strip per test. So if you want to test 12 water sources you could pool them. A better plan might be to buy two kits and test a pool of 6 water sources for each. That way if one set is positive, you only need to buy 6 more, for a total of 8 kits, rather than 12.",Appliances
yes/no,B00005AUHX,"Jul 30, 2014",1406703600.0,can more than one water source be tested?,?,"no, there is only one test kit for each substance. You could only test two if you mixed them together and did it as a pooled sample.",Appliances
open-ended,B00005AUHX,"Jun 10, 2014",1402383600.0,Has anyone used this to test for lead? Do you think it's accurate?,,We used it to test for lead and we have no reason to believe the result was inaccurate. All of its other tests gave results that made me feel like the test was genuine.,Appliances
yes/no,B00005AUHX,"Jun 27, 2014",1403852400.0,"I thought this had been endorsed by epa or state of OH as a home test option, but now I cannot find that on their websites. Does anyone endorse it?",?,The state doesn't have any protocols for rapid screening tests,Appliances
yes/no,B00005AUHX,"Mar 17, 2014",1395039600.0,does it have a colour indicator?,?,"All the tests are based on color . For the lead test, it's a line indicator.",Appliances
open-ended,B00005AUHX,"Jun 27, 2014",1403852400.0,"Does this kit tell you the amount of nitrates, or just tell you its too high?",,You would need to go through a lab to get the exact amount. With this kit you follow a color chart and compare to the EPA standard,Appliances
yes/no,B00005AUHX,"Feb 2, 2015",1422864000.0,Is there an expiration date on any of the tests?,?,"YES. On the back side of the plastic packaging which houses the contents including the instructions and different package envelopes which contain the chemicals for the variety of tests. There are no dates on the individual test envelopes that I can see. BUT there is definitely an expiration date on the back outside of the clear plastic packaging right next to the words ""Watersafe City Water Test Kit."" I hope this is a clear explanation and that it helps.",Appliances
yes/no,B00005AUHX,"Apr 4, 2014",1396594800.0,does it test Coliform/ E. Coli ??,?,"It has a test for bacteria for example E.Coli, however the bacteria test does not specify what kind you have in there.",Appliances
yes/no,B00005AUHX,"Nov 30, 2013",1385798400.0,does this test forlead,Y,Yes it does.,Appliances
open-ended,B00005OU6T,"Jun 25, 2013",1372143600.0,filter for vicks3,,Filter for vicks3 is NOT a question. What are you asking?,Appliances
open-ended,B00005OU6T,"Feb 6, 2015",1423209600.0,"I have not purchased the humidifier that uses this filter yet, but on average how long does this filter last a rough estimate?",,"The outer shell will fall apart in about a year of use, but the filter itself can survive much longer. Mine split at the seam, so it's no longer round, but it still fits in the humidifier, and does its job. Cleaning the filter every week (especially if you have hard water) will degrade the material over time. I've used one in this manner for 3 years so far.",Appliances
yes/no,B00005OU6T,"Jan 24, 2015",1422086400.0,I need to replace a Holmes wick HWF-65T. Does this filter fit?,N,"The only humidifiers that this will fit are Sunbeam SCM866, SCM1895, and SCM1896 and Holmes HM1865 and HM1895 according to the filter box. So I think the answer to your question is ""No"". Sorry.",Appliances
yes/no,B00005OU6T,"Sep 20, 2014",1411196400.0,will this be replacement for holmes model hm 1745 filter? Dimensions 61/2 x 19 x 1,?,Its generic and does not work in a Holmes humidifier!!!,Appliances
yes/no,B00005OU6T,"Jan 2, 2014",1388649600.0,I would like to buy at least 5 filters. Could I pay 1 shipping price if you bundle it? Thank you.,?,"Hi: yes, we would bundle all 5 filters and charge one shipping price.",Appliances
yes/no,B00005OU6T,"May 29, 2014",1401346800.0,Is this model for the #1855 Holmes humidifier?,?,its for the hwf65. I see other vendors do have the filter with the black mesh like the picture shows.,Appliances
yes/no,B00005OU6T,"Mar 2, 2014",1393747200.0,does this filter fit the Holmes HM1845?,?,"All I know is that I have an older model of the Holmes room humidifier. it doesn't have any code on it. anyway, the filter was too tall, but it did fit. so I cut it in half (very hard to do with chic hands. but I did it) and now I have 2 filters for the price of one! other than all that, I'm happy w/it.",Appliances
open-ended,B00006IV17,"Feb 27, 2014",1393488000.0,what is the size ?,,"Works with Holmes and Sunbeam humidifier model #s HM1100, HM1118, HM1119, HM1120, HM1300, HM1700, HM1701, HM1740, HM2025, HM2030, HM1230, HM1275, HM1280, HM1281, HM1285, HM1295, HM1296, HM1297, HM1740, HM1450, HM2408, HM2409, HM1760, HM1761, SCM1100, SCM1701, SCM1702, SCM1762, SCM2409, SCM4100 Package Quantity: 1 Filter Size: 5.3x2x9.5 Features: Antimicrobial Protection Compatible With: Holmes & Sunbeam humidifiers",Appliances
open-ended,B00006IV17,"Sep 10, 2014",1410332400.0,The filters I received did not have the black on the outside. What is the black for?,,"I'm not an expert. Let me start to answer your question with a question. Is there an outer core in any other color that is made of a different material than the inner core? The inner core (white in the picture) is softer to the touch; the outer core, I suspect is what helps it stand up. I don't think the color matters. The outer core feels like plastic. The inner core is definitely not plastic. I suspect the color does not matter. If this doesn't completely answer your question, ask away. I enjoy doing this.",Appliances
yes/no,B00006IV17,"Jan 21, 2014",1390291200.0,does it fit HM1700? I see someone left same question but I dont see answer.,?,I just googled it and it says this filter works for it.,Appliances
yes/no,B00006IV17,27 days ago,,Does it work with Kenmore humidifier?,Y,Yes it does.,Appliances
yes/no,B00006IV17,"Feb 27, 2015",1425024000.0,Do I need to tear off the black outside before I put the new filter into the machine?,N,No. That is part of the filter and provides support.,Appliances
yes/no,B00006IV17,"Jan 11, 2015",1420963200.0,Does this filter fit the Holmes hm5100?,Y,yes,Appliances
open-ended,B00006IV17,"Dec 16, 2014",1418716800.0,Anyone have issues with the filter rotting? Or smelling really bad after a few weeks of use?,,"Don't have an issue with the filter rotting or smelling bad after usage. If you don't plan on using it much, the water container should be emptied and the filter dried out.",Appliances
open-ended,B00006IV17,"Dec 1, 2014",1417420800.0,Brand new only a month old and filter is brown and dired put?,,"Your water may have a high mineral content. Please be sure to always have water in the unit to prevent the filter from drying. Also, we recommend changing the wick filter every 4 weeks.",Appliances
yes/no,B00006IV17,"Nov 10, 2014",1415606400.0,Can this filter remove all mold spores,?,I suppose so if you keep it clean I get a new filter each year,Appliances
open-ended,B00006IV17,"Oct 28, 2014",1414479600.0,"What are the dimensions of this filter? I am looking for replacement for sunbeam model 1119, filter part sunbeam 1173.",,"6"" H x 1"" W (diameter of filter is 7"")",Appliances
open-ended,B00007E89L,"Feb 10, 2014",1392019200.0,Would this bulb fit the Slant/Fin Model GF 100 and do you send the bulb to Canada?,,"Thanks for submitting your question, I am not sure if this item will fit your model however this item cannot be shipped to Canada. For future reference the easiest way to check if the item can be shipped to your location would be to add it to your cart and then click the ""proceed to checkout"" button. An error message will appear if it is not able to be delivered to your destination. If you are able to proceed through the order process you will be shown shipping methods/speed/prices to chose from. Have a great day!",Appliances
yes/no,B00007E89L,"Dec 16, 2013",1387180800.0,Is this the same bulb as the EUV-13B?,?,i have no idea,Appliances
yes/no,B00007E89L,"Oct 30, 2013",1383116400.0,"Will this bulb work for a slant/fin GF-220? Thanks, Michael.",?,I have the GF 300 and I use a EUV-13B bulb and this bulb is specifically rated for the GF 220. You can get it right here at Amazon and it costs only $9.00.,Appliances
open-ended,B00007E89L,"Mar 5, 2014",1394006400.0,"Can you tell what base this bulb has, Med, Min or sub min.",,"Sorry, don't really know the differences!?!?",Appliances
yes/no,B00007E89L,"Jan 27, 2014",1390809600.0,does it fit Vicks V3900 humidifier?,N,I do not know the answer............Not sure,Appliances
yes/no,B00009V3UA,"Feb 19, 2014",1392796800.0,will these range replacement knobs fit a tappan electric stove ?,Y,It fit my Tappan stove.,Appliances
open-ended,B00009V3UA,"Aug 28, 2013",1377673200.0,dear sir how many kilo metres,,"The bushings that you see are made to fit many different size shafts, but I am not sure how many millimeters. If I remember they will fit four different sizes.",Appliances
open-ended,B00009V3UA,"Apr 16, 2015",1429167600.0,"What are the different colored round ""things"" for and do they show or do they go underneath the knobs? Thanks",,"They are to make the knobs fit,but the knobs kept falling off even with those.",Appliances
open-ended,B00009V3UA,"Mar 30, 2015",1427698800.0,Do you have to hold down the IS button or does it stay on after you press it one time?,,"They did not work on my stove,",Appliances
yes/no,B00009V3UA,"Mar 19, 2015",1426748400.0,do you have replacement knobs for hotpoint stove?,N,I am so sorry but at this time i do not. towertree*58,Appliances
yes/no,B00009V3UA,"Dec 28, 2014",1419753600.0,will this replace a (700854-4 part no.) jenn.air knob?,?,If your buttons need to be pushed down to turn these might not work. We have a kenmore. And they did not work for to that reason,Appliances
yes/no,B00009V3UA,"Oct 22, 2014",1413961200.0,"Can the knob be oriented with ""off* at 9 o'clock rather than 12 o'clock position?",?,"i couldn't use these knobs at all and actually broke one trying to install. they look like they fit, but when you press down to turn, it only works the first time. what a waste of money. i should have return them but",Appliances
yes/no,B00009V3UA,"Jul 31, 2014",1406790000.0,"Will this fit on an older GE stove? The original GE stove knob requires a push in, then turn.",?,Don't know for sure but they come with adapters that I used.,Appliances
yes/no,B00009V3UA,"Jun 29, 2014",1404025200.0,will this fit Thermador (OEM: Bosch) older cooktop?,Y,"Hi if your old knobs pull off, then yes these should fit. It comes with different size know adaptors",Appliances
yes/no,B00009V3UA,"Apr 25, 2014",1398409200.0,will knobs fit kenmore#362.75275692,?,I think they will fit any electric stove.it comes with various size fittings for the stem.,Appliances
yes/no,B00009V3UC,"Feb 19, 2014",1392796800.0,will these range replacement knobs fit a tappan electric stove ?,Y,It fit my Tappan stove.,Appliances
open-ended,B00009V3UC,"Aug 28, 2013",1377673200.0,dear sir how many kilo metres,,"The bushings that you see are made to fit many different size shafts, but I am not sure how many millimeters. If I remember they will fit four different sizes.",Appliances
open-ended,B00009V3UC,"Apr 16, 2015",1429167600.0,"What are the different colored round ""things"" for and do they show or do they go underneath the knobs? Thanks",,"They are to make the knobs fit,but the knobs kept falling off even with those.",Appliances
open-ended,B00009V3UC,"Mar 30, 2015",1427698800.0,Do you have to hold down the IS button or does it stay on after you press it one time?,,"They did not work on my stove,",Appliances
yes/no,B00009V3UC,"Mar 19, 2015",1426748400.0,do you have replacement knobs for hotpoint stove?,N,I am so sorry but at this time i do not. towertree*58,Appliances
yes/no,B00009V3UC,"Dec 28, 2014",1419753600.0,will this replace a (700854-4 part no.) jenn.air knob?,?,If your buttons need to be pushed down to turn these might not work. We have a kenmore. And they did not work for to that reason,Appliances
yes/no,B00009V3UC,"Oct 22, 2014",1413961200.0,"Can the knob be oriented with ""off* at 9 o'clock rather than 12 o'clock position?",?,"i couldn't use these knobs at all and actually broke one trying to install. they look like they fit, but when you press down to turn, it only works the first time. what a waste of money. i should have return them but",Appliances
yes/no,B00009V3UC,"Jul 31, 2014",1406790000.0,"Will this fit on an older GE stove? The original GE stove knob requires a push in, then turn.",?,Don't know for sure but they come with adapters that I used.,Appliances
yes/no,B00009V3UC,"Jun 29, 2014",1404025200.0,will this fit Thermador (OEM: Bosch) older cooktop?,Y,"Hi if your old knobs pull off, then yes these should fit. It comes with different size know adaptors",Appliances
yes/no,B00009V3UC,"Apr 25, 2014",1398409200.0,will knobs fit kenmore#362.75275692,?,I think they will fit any electric stove.it comes with various size fittings for the stem.,Appliances
yes/no,B00009W3HD,"May 29, 2014",1401346800.0,"I need a device to let my dryer vent out, I live in small apt, very hot-humid weather, No AC. Would u recommend me this?",?,"This vent is used indoor where there is no way to vent outside. As long as you are sure there is always water in the trap - it works fine. You will have some humidity, but no worse than anything else.",Appliances
open-ended,B00009W3HD,"Feb 8, 2015",1423382400.0,I'm looking to upgrade to a box that is smooth on the inside. Need to know if the inside of this one is smooth so it will clean throughly? Thank-you.,,"No, it is not smooth.",Appliances
open-ended,B00009W3HD,"Jul 22, 2014",1406012400.0,How many loads can you wash before it needs emptied?,,"I empty it out every single load. You can probably get two loads, unless it is something that produces a lot of lint.",Appliances
open-ended,B00009W3HD,"Jul 22, 2014",1406012400.0,How many loads can you wash before it needs emptied?,,I would check it after every dryer run. The water evaporates quickly.,Appliances
yes/no,B00009W3HD,"Jul 13, 2014",1405234800.0,Does it have screens in place where the vents are to prevent lint from blowing out of the vent holes?,N,No. The way it works is that the tray is about half full of water (there is a line you fill it up to). The air hits the water and that catches MOST of the lint. It isn't 100% effective - a little still flies out. But it is a good bit more effective than you'd think it would be. I think it basically gets the lint wet enough that it is too heavy to escape. Remember this is only catching the lint that the lint screen inside the dryer missed - it isn't anything like the amount per load you pull out of the dryer lint screen.,Appliances
yes/no,B00009W3HD,"Apr 16, 2014",1397631600.0,can it be used for a gas drier,?,"I don't really know as this didn't work out for us. I guess I didn't read the description well enough to know you needed to keep water in the boxt. It was going to be too difficult for us to constantly do that. However, I don't see why not it wouldn't work as the hose comes out of the dryer and into the little box. Surely if it can't be used for a gas dryer, they would put that in the description. Sorry I could not be of more help.",Appliances
yes/no,B00009W3HD,"May 27, 2013",1369638000.0,Will the LTF Lint Dryer Kit work on a gas dryer?,?,"I believe there's a disclaimer on these units that they should not be used on gas dryers. Gas dryers really need to be vented outdoors because, unlike electric dryers, there's combustion and that results in fumes. The other vent shown with this one... Dundas Jafine TDIDVKZW ProFlex Indoor Dryer Vent Kit... states in the description ""Not be used with gas clothes dryers"". I would not do it.",Appliances
open-ended,B0000AYKNT,"Mar 26, 2006",1143360000.0,Sink connection question: Has anyone had this problem and figured out a way to solve it?,,"Hello, I suggest that you take the aeroators off both kitchen and bathroom faucet, take them AND the adapter to home depot or lowes. In the bathroom section, they sell what is called AERATOR ADAPTERS. Ask one of the staff to help you and your problem will be resolved quickly.",Appliances
open-ended,B0000AYKNT,"Sep 21, 2013",1379746800.0,"The water flows through the inlet hose without a problem and is connected tightly. However, the water does not flow into the tub. Why is this?",,"Can you clarify? Is the water not flowing from the *machine* tub into your *shower* tub where you're draining into? Or is water not coming into the Haier tub? Your question is hard to answer as I'm not sure which tub the water isn't going into, but if you can clarify, we can probably help figure this out for you.",Appliances
open-ended,B0000AYKNT,"Jan 3, 2008",1199347200.0,How many RPM (revolutions per minute) has this washer? Does anyone know?,,"hi. i don't know about rpm's, but my (new) washer spins clothes almost dry! it's great in that way and in many others...i just can't seem to get the lint filter out to clean it.",Appliances
open-ended,B0000AYKNT,"Aug 24, 2007",1187938800.0,lint screen stuck/broken: Any suggestions?,,Pull from the side and bend it forward - it should pop out. My washer is not spinning the water out correctly - the pulsator is moving but it is not moving reapidly as it once was and now the clothes are full of water -- the washer drains without problem - it just does not seem to be spinning out correctly - any ideas ? MARY,Appliances
open-ended,B0000TN7NS,"Nov 18, 2013",1384761600.0,What kind of batteries does it take?,,It comes with one AAA battery.,Appliances
yes/no,B0000TN7NS,"Dec 15, 2013",1387094400.0,does it have a backlight?,N,"No, I wish it did! Can't read it when baby's sleeping.",Appliances
yes/no,B0000TN7NS,"Dec 15, 2013",1387094400.0,Is it possible to calibrate,?,"I can see NO apparent way for the user to calibrate the monitor. Still, a pretty nice unit for the price.",Appliances
open-ended,B0000TN7NS,24 days ago,,Anyone know how accurate the humidity measurements are? (Ie: anyone checked this against some standard or some other accurate hygrometer?) Thanks!,,"Seemed pretty accurate to me, had another digital in the room and they read the same",Appliances
yes/no,B0000TN7NS,"Jan 12, 2015",1421049600.0,It's written that the dimensions are 7x7x4inches. Is it right?,Y,Good catch. It is in fact more like 4 x 4 inches. Probably 7 centimeters.,Appliances
yes/no,B0000TN7NS,"Jan 6, 2015",1420531200.0,Is it accurate?,Y,Relative to the thermostat setting and a baby monitor - yes. I don't know about humidity other than to say two of the same Vicks monitors read the same and trend with outside humidity.,Appliances
yes/no,B0000TN7NS,"Dec 26, 2014",1419580800.0,Is there a lag time after you take it out of the box before it starts to work? (No instructions included!),?,Nope. As soon as I took the plastic piece of te battery compartment it started working.,Appliances
yes/no,B0000TN7NS,"Aug 10, 2014",1407654000.0,Could this be used outside in a enclosed patio and work accurately throughout the seasons? Thank you for your reply and have a good day!,Y,"Yes, should be fine",Appliances
yes/no,B0000TN7NS,"Jun 16, 2014",1402902000.0,Does this monitor read humidity levels below 16%?,?,"The scale listed on the unit goes from 0 to 100, so I imagine it would. Ours has only ever been down in the lower 20s.",Appliances
yes/no,B0000TN7NS,"Mar 9, 2014",1394352000.0,can it be wall mounted,N,No.,Appliances
open-ended,B00018ALEQ,"May 4, 2013",1367650800.0,I sure need to know if this can be used on a rock/stone yard to pick up leaf debris but leaves behind the decorative stone?,,"If the leaves are dry, it should do fine...and leave the stone undisturbed. I have used it for this purpose with little, if any, problem.",Appliances
yes/no,B00018ALEQ,"Mar 30, 2014",1396162800.0,Has anyone used this on a brick driveway? I am looking for vacuum that can suck-up small leaves and other debris between the bricks.,Y,I bought this originally to sweep up sawdust in my woodshop. I have used this to sweep the pavers in my backyard and it works great. It has a lot of suction power.,Appliances
yes/no,B00018ALEQ,"Dec 22, 2014",1419235200.0,does this pick up dust without blowing it out the bag. Our barn is very dusty,?,I use are in a warehouse for the dust. I have found that you need to wash out the bag after use. I rinse the bag out with water and hang to dry for the next week.,Appliances
open-ended,B00018ALEQ,6 days ago,,I'm assuming this is a electrical plug in rather than gas powered correct?,,"Yes you are correct, it is electric 120 volt. My wife uses it more than I do and she tells me that it works great and is easy to use. Far less messy than a blower for picking up leaves a small stuff. Hopes this helps.",Appliances
yes/no,B00018ALEQ,"Feb 15, 2015",1423987200.0,Will this work on my astro turf sun deck for picking up bugs and leaves?,Y,Yes,Appliances
yes/no,B00018ALEQ,"Feb 15, 2015",1423987200.0,Will this work on astro turf to pick up small bugs and leaves?,N,No,Appliances
open-ended,B00018ALEQ,"Dec 19, 2014",1418976000.0,This maybe have been answered: I have a huge leaf problem from the city trees - can this vacuum do the job?,,Do not buy biggest piece of junk ever,Appliances
open-ended,B00018ALEQ,"Nov 15, 2014",1416038400.0,"The bag ripped in two places, where can I purchase a new bag?",,I went on amazon and ordered another one had it in 2 days,Appliances
open-ended,B00018ALEQ,"Oct 10, 2014",1412924400.0,"Is there any hand held attachment, or crevice tool?",,no it is what you see,Appliances
yes/no,B00018ALEQ,"Oct 7, 2014",1412665200.0,Would this pick up pine needles on a lawn?,?,"Possibly. It would depend on the condition of your lawn. It is a powerful machine.If they are long needles you would definitely be better off raking. If they are the short, stabbing variety it might be worth a try. If you have a regular shop vac I would recommend you try it first. It will definitely NOT be equivalent to an upright indoor vacuum on carpet. It just won't be that easy. You need a level surface. If your lawn is really thick it ""could"" help. If the lawn is sparse you would probably hurt the grass.",Appliances
